	Aala	Alatina_alata	Cass_xama	Ccrux	Ccrux	Cxam	Cxam	HumRef2017	Nemvec_prot_models	hydra2
Aala	11430	9842	4738	5182	4427	6745	6452	3451	4346	4371
Alatina_alata	9842	16187	7852	8776	7305	10764	10161	6274	7694	7212
Cass_xama	4738	7852	15118	6875	6057	14034	12814	5107	6351	5752
Ccrux	5182	8776	6875	15144	11832	9805	9394	6096	7349	7087
Ccrux	4427	7305	6057	11832	12725	7536	7286	5188	6232	5915
Cxam	6745	10764	14034	9805	7536	68773	65515	6758	8227	7689
Cxam	6452	10161	12814	9394	7286	65515	66228	6260	7885	7509
HumRef2017	3451	6274	5107	6096	5188	6758	6260	7443	6327	5498
Nemvec_prot_models	4346	7694	6351	7349	6232	8227	7885	6327	9509	6237
hydra2	4371	7212	5752	7087	5915	7689	7509	5498	6237	8928
