Number of genes	852580
Number of genes in orthogroups	505577
Number of unassigned genes	347003
Percentage of genes in orthogroups	59.3
Percentage of unassigned genes	40.7
Number of orthogroups	80481
Number of species-specific orthogroups	823
Number of genes in species-specific orthogroups	4338
Percentage of genes in species-specific orthogroups	0.5
Mean orthogroup size	6.3
Median orthogroup size	2.0
G50 (assigned genes)	14
G50 (all genes)	2
O50 (assigned genes)	8235
O50 (all genes)	40838
Number of orthogroups with all species present	2152
Number of single-copy orthogroups	6
Date	2018-12-18
Orthogroups file	Orthogroups.csv
Unassigned genes file	Orthogroups_UnassignedGenes.csv
Per-species statistics	Statistics_PerSpecies.csv
Overall statistics	Statistics_Overall.csv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.csv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	68299	84.9	207092	41.0
'1	6788	8.4	92358	18.3
'2	2661	3.3	63533	12.6
'3	1262	1.6	42903	8.5
'4	590	0.7	25910	5.1
'5	328	0.4	17835	3.5
'6	184	0.2	11789	2.3
'7	107	0.1	7932	1.6
'8	58	0.1	4930	1.0
'9	36	0.0	3377	0.7
'10	40	0.0	4165	0.8
11-15	77	0.1	9876	2.0
16-20	26	0.0	4753	0.9
21-50	21	0.0	6458	1.3
51-100	4	0.0	2666	0.5
101-150	0	0.0	0	0.0
151-200	0	0.0	0	0.0
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	823
2	59815
3	7380
4	2406
5	1537
6	1053
7	1191
8	1708
9	2416
10	2152
